disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8
Deep Vein Thrombosis,redness or discolouration,visible surface veins,pain or tenderness in leg,leg cramps,,,,
Major Depressive Disorder,persistent sadness,hopelessness,concentration difficulty,changes in appetite,loss of interest,feelings of worthlessness,sleep disturbances,
COVID-19,loss of taste,body aches,chest tightness,headache,fatigue,sore throat,,
Pneumonia,fatigue,sweating,chest pain on breathing,rapid breathing,shortness of breath,confusion in elderly,,
Chronic Myeloid Leukemia,often asymptomatic (chronic phase),easy bruising,early satiety,fatigue,,,,
Neonatal Jaundice,pale stools,excessive sleepiness,dark urine,yellowing of whites of eyes,,,,
Vertigo (Benign Paroxysmal Positional),nausea,vomiting,sudden dizziness triggered by head position change,sensation of spinning,,,,
Ringworm (Tinea Corporis),patches on scalp (tinea capitis),itching,expanding ring over time,ring-shaped scaly patches,red borders of rash,hair loss in patches (scalp),,
Breast Cancer,redness of breast skin,nipple discharge,thickening of breast tissue,breast lump,,,,
Major Depressive Disorder,changes in appetite,feelings of worthlessness,sleep disturbances,slowed thinking,concentration difficulty,hopelessness,suicidal thoughts,loss of interest
Malignant Melanoma,itching mole,diameter >6 mm,asymmetric mole,changing mole (ABCDE criteria),,,,
Plantar Fasciitis,stiffness in foot,tenderness at heel bone base,heel pain (especially first steps in morning),pain decreasing after walking but returning after rest,,,,
Dengue Haemorrhagic Fever,rapid fall in platelet count,plasma leakage (haemoconcentration),shock (in severe cases),petechiae,severe headache,high fever,vomiting,
Endometriosis,pain during intercourse,pelvic pain,painful periods (dysmenorrhoea),pain with bowel movements/urination,,,,
Hepatitis C,loss of appetite,joint pain,nausea,abdominal pain,jaundice,often asymptomatic initially,dark urine,
Food Poisoning,fever,weakness,nausea,blood in stool (severe),diarrhoea,,,
Deep Vein Thrombosis,warm skin over affected area,leg cramps,pain or tenderness in leg,redness or discolouration,pitting oedema,,,
Chronic Myeloid Leukemia,night sweats,anaemia,often asymptomatic (chronic phase),early satiety,easy bruising,weight loss,,
Down Syndrome,increased risk of infections,intellectual disability,congenital heart defects,hearing loss,low muscle tone (hypotonia),characteristic facial features,vision problems,thyroid dysfunction
Haemophilia A,spontaneous joint bleeds,prolonged bleeding after surgery or dental work,blood in urine,joint pain and swelling,excessive bleeding from minor cuts,internal bleeding,bruising easily,
Kidney Stones,nausea,severe flank pain,fever (if infected),chills,blood in urine,frequent urination,,
Bulimia Nervosa,episodes of binge eating,teeth enamel erosion,electrolyte imbalances,purging (self-induced vomiting),,,,
Panic Disorder,nausea,chest pain,sudden intense fear,fear of dying,,,,
Cerebral Palsy,weakness,poor coordination,intellectual disability,speech problems,,,,
Cervical Cancer,watery foul-smelling vaginal discharge,bleeding after intercourse,pelvic pain,abnormal vaginal bleeding,pain during intercourse,back or leg pain (advanced),,
Rheumatoid Arthritis,joint warmth and redness,anaemia,decreased joint function,nodules under skin,weight loss,fatigue,symmetric joint swelling,
Major Depressive Disorder,hopelessness,fatigue,feelings of worthlessness,sleep disturbances,persistent sadness,concentration difficulty,loss of interest,changes in appetite
Sinusitis,cough,toothache,post-nasal drip,loss of smell,fever,,,
Fibromyalgia,cognitive difficulties (fibro fog),headache,widespread musculoskeletal pain,fatigue,depression,,,
Irritable Bowel Syndrome,diarrhoea,constipation,excess gas,bloating,mucus in stool,,,
Obsessive-Compulsive Disorder,time-consuming rituals,excessive checking,distress when rituals interrupted,recurrent unwanted thoughts (obsessions),,,,
Acne Vulgaris,scarring,pustules,blackheads,oily skin,whiteheads,papules,nodules,redness around spots
Acromegaly,enlarged hands and feet,headache,body odour,sleep apnoea,excessive sweating,facial feature changes (enlarged jaw/brow),enlarged tongue,
Deep Vein Thrombosis,leg cramps,pain or tenderness in leg,warm skin over affected area,pitting oedema,visible surface veins,swelling of one leg,redness or discolouration,
Endometriosis,heavy periods,infertility,pain with bowel movements/urination,pain during intercourse,,,,
Haemophilia A,internal bleeding,bruising easily,excessive bleeding from minor cuts,joint pain and swelling,spontaneous joint bleeds,blood in urine,,
Hypertension,ringing in ears,nosebleed,headache,dizziness,blurred vision,,,
Common Cold,nasal congestion,watery eyes,mild fever,headache,,,,
Kawasaki Disease,peeling skin on fingers,red cracked lips,red eyes (conjunctivitis),swollen lymph nodes in neck,rash on trunk,strawberry tongue,high fever lasting more than 5 days,swollen hands and feet
Tetanus,muscle spasms,difficulty swallowing,rapid heartbeat,fever,,,,
Sinusitis,fever,headache,facial pain or pressure,loss of smell,thick nasal discharge,post-nasal drip,nasal congestion,toothache
Nephrotic Syndrome,low albumin,fatigue,reduced urine output,weight gain from fluid,severe oedema (swelling),loss of appetite,high cholesterol,foamy urine (proteinuria)
Panic Disorder,nausea,racing heart,shortness of breath,dizziness,fear of dying,,,
Post-Traumatic Stress Disorder,irritability,sleep disturbances,hypervigilance,avoidance of trauma reminders,flashbacks,,,
Down Syndrome,short stature,vision problems,thyroid dysfunction,intellectual disability,increased risk of infections,,,
Plantar Fasciitis,heel pain (especially first steps in morning),pain after prolonged standing,stiffness in foot,tenderness at heel bone base,,,,
Tuberculosis,chest pain,weight loss,fatigue,coughing more than 3 weeks,,,,
Sleep Apnea,gasping during sleep,frequent night awakenings,irritability,morning headache,dry mouth on waking,loud snoring,difficulty concentrating,
Sciatica,tingling in leg,shooting pain from lower back down the leg,pain along sciatic nerve path,pain from hip to calf or foot,,,,
Muscular Dystrophy (Duchenne),calf pseudohypertrophy,respiratory failure (late),frequent falls,progressive muscle weakness (proximal first),waddling gait,difficulty walking,,
Gastritis,indigestion,loss of appetite,belching,feeling of fullness,dark stools,burning sensation in stomach,nausea,bloating
Multiple Sclerosis,cognitive impairment,balance problems,spasticity,numbness or tingling,,,,
Parkinson's Disease,writing changes,sleep disturbances,resting tremor,bradykinesia (slow movement),loss of automatic movements,muscle rigidity,speech changes,postural instability
Allergic Rhinitis,watery eyes,itchy eyes,sneezing,runny nose,post-nasal drip,,,
Portal Hypertension,ascites (fluid in abdomen),jaundice,dilated abdominal veins,oesophageal varices,encephalopathy,,,
Panic Disorder,fear of dying,fear of losing control,dizziness,racing heart,sweating,chest pain,,
Cerebral Palsy,weakness,abnormal gait,vision/hearing problems,intellectual disability,poor coordination,fine motor difficulties,seizures,speech problems
Endometriosis,pain with bowel movements/urination,bloating,fatigue,infertility,,,,
Chronic Myeloid Leukemia,weight loss,early satiety,night sweats,bone pain,splenomegaly,often asymptomatic (chronic phase),easy bruising,anaemia
Stroke,dizziness,sudden severe headache,loss of balance,vision problems,confusion,difficulty walking,sudden facial drooping,arm weakness (one side)
Hyperthyroidism,diarrhoea,increased appetite,bulging eyes (Graves'),sweating,,,,
Retinal Detachment,floaters,sudden blurred vision,loss of central vision (macula detachment),visual field loss,sudden flashes of light,curtain shadow over vision,,
Epilepsy,temporary confusion,recurring seizures,uncontrolled jerking movements,post-ictal confusion,automatic movements (lip smacking),loss of consciousness,deja vu sensation,fear or anxiety aura
Asthma,difficulty breathing,exercise-induced breathlessness,shortness of breath,chest tightness,cough at night,,,
Anaphylaxis,vomiting,loss of consciousness,itching,wheezing,pale or flushed skin,drop in blood pressure,sudden throat swelling,
Kidney Stones,vomiting,cloudy urine,burning urination,pain radiating to groin,frequent urination,nausea,,
Hyperthyroidism,rapid heartbeat,heat intolerance,nervousness,diarrhoea,bulging eyes (Graves'),,,
Measles,runny nose,sensitivity to light,sore throat,cough,,,,
Bulimia Nervosa,electrolyte imbalances,fasting after binges,swollen cheeks,calluses on knuckles,use of laxatives or diuretics,,,
HIV Infection,diarrhoea,night sweats,sore throat,fatigue,flu-like illness (acute),rash,weight loss,swollen lymph nodes
Carpal Tunnel Syndrome,pain radiating up forearm,pain in wrist and hand,weakness of grip,symptoms relieved by shaking hand,tingling and numbness in thumb and fingers,,,
Panic Disorder,nausea,racing heart,sweating,dizziness,chest pain,fear of dying,shortness of breath,
Hepatitis C,abdominal pain,fever,dark urine,often asymptomatic initially,jaundice,,,
Fibromyalgia,anxiety,depression,tender points,cognitive difficulties (fibro fog),fatigue,sleep disturbance,widespread musculoskeletal pain,
Fatty Liver Disease (NAFLD),right upper abdominal discomfort,usually asymptomatic,elevated cholesterol,elevated liver enzymes,abdominal fullness,fatigue,enlarged liver,
Asthma,mucus production,difficulty breathing,chest tightness,shortness of breath,,,,
Acromegaly,sleep apnoea,vision problems,joint pain,enlarged tongue,headache,facial feature changes (enlarged jaw/brow),body odour,
Leukemia (Acute Lymphoblastic),fatigue,swollen lymph nodes,frequent infections,fever,splenomegaly,night sweats,bone and joint pain,
Anaphylaxis,difficulty breathing,nausea,pale or flushed skin,drop in blood pressure,,,,
Bronchitis,cough with mucus,fatigue,low-grade fever,wheezing,mild fever,shortness of breath,,
Myocardial Infarction,chest pain radiating to left arm,shortness of breath,sweating,loss of consciousness,palpitations,crushing chest pain,dizziness,
Acne Vulgaris,nodules,oily skin,whiteheads,pustules,,,,
Kidney Stones,fever (if infected),blood in urine,vomiting,chills,severe flank pain,frequent urination,burning urination,
Ulcerative Colitis,weight loss,bloody diarrhoea,joint pain (extra-intestinal),rectal pain,anaemia,fatigue,,
Atrial Fibrillation,irregular heartbeat,fainting,anxiety,fatigue,palpitations,shortness of breath,chest discomfort,dizziness
Peptic Ulcer,bloating,loss of appetite,dark/tarry stools,nausea,pain relief after eating (duodenal),,,
Cirrhosis,spider angiomas,loss of appetite,ascites,jaundice,weakness,easy bruising/bleeding,,
Panic Disorder,sweating,chest pain,shortness of breath,numbness or tingling,sudden intense fear,fear of losing control,,
Hypo-thyroidism,depression,puffiness of face,dry skin,muscle weakness,memory impairment,,,
Acute Respiratory Distress Syndrome,severe breathlessness,rapid breathing,extreme fatigue,low oxygen levels,hypoxaemia despite oxygen,bilateral lung infiltrates on X-ray,confusion,
Influenza,body aches,sudden high fever,severe headache,runny nose,congestion,,,
Kawasaki Disease,rash on trunk,swollen hands and feet,peeling skin on fingers,strawberry tongue,high fever lasting more than 5 days,,,
Myocardial Infarction,loss of consciousness,shortness of breath,nausea,sweating,,,,
Rotator Cuff Injury,shoulder pain worsening with arm raising,difficulty reaching behind back,pain at night (lying on affected side),reduced range of motion,weakness in shoulder,,,
Bipolar Disorder,episodes of depression,racing thoughts,reduced need for sleep (mania),low mood and hopelessness (depression),irritability,,,
Pneumonia,fever,fatigue,productive cough,rapid breathing,chest pain on breathing,shortness of breath,,
Systemic Lupus Erythematosus,anaemia,fatigue,kidney problems (proteinuria),hair loss,,,,
Dengue Haemorrhagic Fever,rapid fall in platelet count,bleeding gums,shock (in severe cases),severe headache,petechiae,high fever,,
Sciatica,shooting pain from lower back down the leg,pain from hip to calf or foot,numbness in leg or foot,pain along sciatic nerve path,pain worsening on sitting,,,
Prostate Cancer,bone pain,blood in urine or semen,pelvic discomfort,weak urine stream,often asymptomatic (early),erectile dysfunction,,
Carpal Tunnel Syndrome,weakness of grip,symptoms worse at night,pain in wrist and hand,pain radiating up forearm,tingling and numbness in thumb and fingers,symptoms relieved by shaking hand,dropping objects,
Syphilis,swollen lymph nodes,rash on palms and soles,hair loss,painless genital sore (chancre),fatigue,fever,,
Hepatitis B,right upper quadrant discomfort,vomiting,jaundice,joint pain,abdominal pain,fatigue,dark urine,fever
Sickle Cell Disease,jaundice,stroke symptoms,anaemia,"painful crises (bones, chest, joints)",frequent infections,,,
Schizophrenia,disorganized speech,delusions,disorganized thinking,agitation,cognitive impairment,social withdrawal,negative symptoms (flat affect),hallucinations (hearing voices)
Insomnia,anxiety about sleep,daytime fatigue,concentration difficulty,early morning awakening,irritability,non-restorative sleep,difficulty staying asleep,
Polycythemia Vera,large spleen,itching after bath/hot water,blurred vision,dizziness,redness of face,weight loss,headache,blood clots
