disease,medicine,dosage,precautions,severity
Sinusitis,Mometasone Nasal Spray,2 sprays per nostril once daily,Tilt head forward when spraying; rinse mouth after use; allow 1–2 weeks for full effect,Mild
Sleep Apnea,Modafinil,100–200 mg once daily in the morning (residual sleepiness),"Adjunct only; does not treat underlying apnoea; may cause headache, anxiety; avoid in cardiovascular disease; controlled drug",Mild
Tuberculosis,Pyridoxine (Vitamin B6),25–50 mg once daily (given with isoniazid),Prevents isoniazid-induced peripheral neuropathy; take throughout TB treatment,Moderate
Type 2 Diabetes,Empagliflozin (SGLT-2),10–25 mg once daily in the morning,Risk of UTI and DKA; hold before major surgery; adequate hydration; genital hygiene,Moderate
Asthma,Salbutamol (Albuterol) Inhaler,100–200 mcg (1–2 puffs) as needed up to 4 times/day,Overuse indicates poor control; rinse mouth after use; avoid triggers such as smoke and allergens,Moderate
Gout,Colchicine,1 mg orally then 0.5 mg after 1 hour; max 1.5 mg per attack,Effective if started early; GI side effects (diarrhoea); reduce dose in renal impairment; multiple drug interactions,Moderate
Cushing Syndrome,Metyrapone,500–1000 mg every 4–6 hours (titrate to serum cortisol),Adrenal enzyme inhibitor; pituitary surgery is first-line for Cushing's disease; monitor cortisol and ACTH; risk of adrenal insufficiency; monitor BP (mineralocorticoid excess),Severe
Polycystic Kidney Disease,Tolvaptan (Vasopressin Receptor Antagonist),45–120 mg/day in divided doses (morning-weighted); titrate monthly,Slows kidney cyst growth; serious hepatotoxicity — monthly LFTs; thirst and polyuria (mechanism of action); avoid with strong CYP3A4 inhibitors; specialist nephrology only,Severe
Atrial Fibrillation,Apixaban (DOAC),"5 mg twice daily (2.5 mg BD if 2 of 3 criteria: age>80, weight<60 kg, creatinine>133)",Stroke prevention; no routine monitoring; avoid in severe renal failure; withhold before procedures; do not abruptly stop,Moderate
Obsessive-Compulsive Disorder,Clomipramine (Tricyclic),25–250 mg once daily at bedtime,Most effective TCA for OCD; monitor ECG (QT prolongation); anticholinergic side effects; overdose dangerous — monitor in suicidal patients,Moderate
Anaemia,Folic Acid,5 mg once daily for 4 months (folate deficiency anaemia),Identify and treat underlying cause; essential in pregnancy; mask vitamin B12 deficiency if not co-treated,Mild
Osteoarthritis,Paracetamol,500–1000 mg every 4–6 hours; max 4 g/day (first-line),Safest analgesic for OA; avoid in liver disease; regular scheduled dosing better than PRN,Mild
Syphilis,Doxycycline,100 mg twice daily for 14 days (penicillin allergy),Avoid in pregnancy; take with full glass of water; photosensitivity risk; do not lie down for 30 minutes after,Moderate
Hemochromatosis,Deferasirox (Iron Chelation),10–20 mg/kg/day orally (when phlebotomy not tolerated),Used when phlebotomy contraindicated (anaemia); monitor renal and hepatic function; GI irritation; annual ophthalmic check,Moderate
Alzheimer's Disease,Memantine,"5 mg once daily, titrate by 5 mg/week to 20 mg/day in divided doses",For moderate-to-severe AD; reduce dose in renal impairment; may be combined with donepezil; monitor cognition,Severe
Chronic Obstructive Pulmonary Disease,Prednisolone (oral — exacerbation),30–40 mg once daily for 5 days,For exacerbations only; short course; monitor blood glucose; do not use long-term orally without specialist guidance,Severe
Meningitis,Acyclovir IV,10 mg/kg IV every 8 hours for 14–21 days (viral/herpetic),Adequate hydration; monitor renal function; start empirically pending HSV PCR result,Severe
Gastritis,Pantoprazole,40 mg once daily before meals for 4–8 weeks,Long-term use associated with C. diff risk; monitor magnesium; may affect absorption of some drugs,Moderate
Thalassemia (Beta),Deferasirox (Iron Chelation),14–28 mg/kg/day orally once daily on empty stomach,Monitor renal and hepatic function monthly; audiological and ophthalmic monitoring; GI irritation; not in infants,Severe
Conjunctivitis,Olopatadine Eye Drops 0.1%,1 drop in each eye twice daily (allergic conjunctivitis),Remove contact lenses before instilling; wait 10 min before reinserting lenses; avoid rubbing eyes,Mild
Chronic Myeloid Leukemia,Dasatinib,100 mg once daily (first or second line),Pleural effusion risk; pulmonary hypertension; monthly monitoring; many drug and food interactions; second generation TKI,Severe
Peptic Ulcer,Sucralfate,1 g four times daily on an empty stomach,Take 1 hour before meals; separate from other medications by 2 hours; constipation is common side effect,Mild
Narcolepsy,Modafinil,100–400 mg in the morning or divided morning and noon,"Controlled drug; may cause headache, nausea; many drug interactions; does not cure narcolepsy; avoid alcohol",Moderate
Nephrotic Syndrome,Prednisolone (Minimal Change Disease),60 mg/m²/day (children; max 80 mg/day) for 4 weeks then alternate day for 4 weeks,Monitor blood pressure and glucose; bone protection; complete remission in 90% of minimal change disease in children; monitor for infection,Moderate
Hemochromatosis,Phlebotomy (Venesection),500 mL blood weekly until ferritin <50 ng/mL; then 4–6 times per year for maintenance,Definitive treatment; early treatment prevents organ damage; monitor serum ferritin and haematocrit; family screening essential (HFE gene testing),Moderate
Pulmonary Embolism,Rivaroxaban (DOAC),"15 mg twice daily with food for 21 days, then 20 mg once daily with food",No loading dose injection required; monitor renal function; avoid in pregnancy; withhold before surgery; do not stop without advice,Severe
COVID-19,Dexamethasone,6 mg once daily for up to 10 days (oxygen-requiring patients),Only for patients requiring oxygen; risk of secondary infections; hyperglycaemia monitoring,Severe
Temporomandibular Joint Disorder,Diazepam (Short-term Muscle Relaxant),2–5 mg at bedtime for 2–4 weeks (muscle spasm),Short-term only; dependence risk; do not drive; avoid alcohol; night-time bite guard (dental splint) primary management,Mild
Sickle Cell Disease,Penicillin V (Prophylaxis),125 mg twice daily (under 3 years); 250 mg twice daily (over 3 years),Lifelong prophylaxis against pneumococcal infection; check penicillin allergy; ensure pneumococcal vaccination also given,Moderate
Fatty Liver Disease (NAFLD),Vitamin E (800 IU/day),800 IU once daily (non-diabetic NASH),Antioxidant; modest benefit in non-cirrhotic non-diabetic NASH; avoid in cardiovascular disease (possible increased haemorrhagic stroke); long-term safety uncertain,Mild
Hepatitis C,Sofosbuvir/Velpatasvir (Epclusa),400/100 mg once daily for 12 weeks,Highly effective pan-genotypic treatment; check drug interactions; avoid in severe renal impairment; test for HBV before starting,Severe
Coronary Artery Disease,Aspirin,75–100 mg once daily indefinitely,Antiplatelet; take with food; avoid if active GI bleeding; add PPI if GI risk; lifelong therapy,Moderate
Systemic Lupus Erythematosus,Mycophenolate Mofetil,1000–3000 mg/day in 2 divided doses (lupus nephritis),Teratogenic — effective contraception required; monitor blood counts and LFTs monthly; GI side effects,Severe
Allergic Rhinitis,Loratadine,10 mg once daily,Non-sedating; safe in pregnancy class B; take at same time each day; avoid known allergens,Mild
Schizophrenia,Olanzapine,5–20 mg once daily at bedtime,"Significant weight gain and metabolic syndrome risk; monitor blood glucose, lipids; QT prolongation; sedating",Severe
Bipolar Disorder,Quetiapine,50–800 mg/day (mania) or 50–300 mg/day (depression),"Metabolic side effects — monitor weight, glucose, lipids; sedating; risk of QT prolongation; orthostatic hypotension",Moderate
Allergic Rhinitis,Cetirizine,10 mg once daily,May cause mild drowsiness; avoid alcohol; reduce dose in renal impairment; safe from age 2,Mild
Rabies,Rabies Post-Exposure Prophylaxis (PEP),"Rabies immunoglobulin (RIG) infiltrated at bite site + 4-dose rabies vaccine on days 0, 3, 7, 14",ALWAYS wash wound with soap and water for 15 min immediately; PEP must be given before symptoms develop; once symptomatic rabies is nearly 100% fatal; give HRIG on day 0 only at bite site,Critical
Migraine,Topiramate (preventive),"25 mg at night, titrate to 50–100 mg twice daily over weeks",Cognitive side effects; kidney stone risk; adequate hydration; avoid in pregnancy,Moderate
Eczema (Atopic Dermatitis),Tacrolimus Ointment 0.1%,Apply thinly twice daily until lesion clear (adults),Calcineurin inhibitor — no skin atrophy; burning on application initially; avoid UV exposure; good for face and skin folds,Moderate
Alzheimer's Disease,Donepezil (Cholinesterase Inhibitor),"5 mg at bedtime for 4 weeks, then 10 mg at bedtime","Symptomatic treatment only; may cause vivid dreams, diarrhoea, nausea; take at bedtime to reduce side effects",Severe
Multiple Sclerosis,Methylprednisolone (Relapse),1 g IV once daily for 3–5 days,Shortens relapse duration but does not alter long-term outcome; monitor glucose and BP; psychiatric side effects; no food 2 h after infusion,Severe
Urinary Tract Infection,Nitrofurantoin,100 mg (modified release) twice daily for 5 days,Not effective for upper UTI; avoid in renal impairment (eGFR<45); may cause pulmonary reactions; take with food,Mild
Appendicitis,Metronidazole IV,500 mg IV every 8 hours (pre- and post-operative),Used alongside cephalosporin for anaerobic coverage; avoid alcohol; monitor LFTs,Severe
Chronic Fatigue Syndrome,Melatonin,0.5–5 mg at bedtime,For sleep disturbance component; evidence limited; avoid high doses; CBT and graded activity with monitoring remain key interventions,Mild
Polycythemia Vera,Hydroxyurea,15–20 mg/kg/day (start); titrate to maintain Hct <45% and platelets <400×10⁹/L,Monitor CBC every 2 weeks then monthly; reduce dose if neutrophils <2.5×10⁹/L; myelosuppression; teratogenic — contraception needed,Moderate
Schizophrenia,Risperidone,2–8 mg once daily (start 1–2 mg/day),Monitor for extrapyramidal symptoms and tardive dyskinesia; weight gain; monitor metabolic parameters; prolactin elevation,Severe
Obsessive-Compulsive Disorder,Sertraline,50–200 mg once daily (higher doses often needed than for depression),May take 8–12 weeks for full OCD benefit; combine with CBT/ERP for best results; do not stop abruptly,Moderate
Myocardial Infarction,Streptokinase (Thrombolytic),1.5 million units IV over 60 minutes (where PCI unavailable),"Use within 12 h of symptom onset; many contraindications (recent surgery, bleeding); monitor for haemorrhage and hypotension",Critical
Chronic Fatigue Syndrome,Duloxetine,30–60 mg once daily (for pain and depression component),Monitor mood; not a cure; taper on discontinuation; allow 4–6 weeks for effect; multidisciplinary approach essential,Moderate
Pneumonia,Azithromycin,500 mg once daily for 3–5 days,Risk of QT prolongation; avoid with other QT-prolonging drugs; monitor cardiac patients,Moderate
Stroke,Atorvastatin,40–80 mg once daily at night,Secondary prevention; monitor LFTs and CK; avoid with certain antifungals/antibiotics; report muscle pain,Moderate
Measles,Paracetamol,10–15 mg/kg every 4–6 hours (children); 500–1000 mg adults,For fever and discomfort; avoid aspirin in children; maintain hydration,Moderate
Polycystic Ovary Syndrome,Combined Oral Contraceptive Pill,One pill daily for 21 days then 7-day break (cyclically),For menstrual regulation and acne/hirsutism; VTE risk; contraindicated in migraine with aura; not for fertility,Mild
Hypothermia,Active External Rewarming,Warm blankets and heating pads to trunk; warm humidified oxygen; IV warm saline (40–42°C) for severe cases,Rewarm trunk before extremities (afterdrop risk); cardiac monitoring (VF risk); avoid vigorous movement; handle gently; hospital management essential for severe cases,Critical
Kawasaki Disease,Aspirin (High Dose then Low Dose),80–100 mg/kg/day in 4 divided doses (febrile phase) then 3–5 mg/kg/day once afebrile for 6–8 weeks,Exception where aspirin used in children; do not use aspirin if influenza or chickenpox (Reye syndrome); echocardiogram follow-up,Moderate
Cystic Fibrosis,Ivacaftor/Lumacaftor (Orkambi),2 tablets (400/250 mg) twice daily with fat-containing food,For specific CFTR mutations (F508del) — genetic testing required; monitor LFTs; specialist CF centre initiation; respiratory assessments,Severe
Psoriasis,Betamethasone Dipropionate Cream 0.05%,Apply thinly to affected areas once or twice daily for 2–4 weeks,Avoid on face and skin folds; risk of skin atrophy with prolonged use; do not use under occlusion; topical only,Mild
Type 2 Diabetes,Glibenclamide (Glipizide),2.5–20 mg once or twice daily before meals,Risk of hypoglycaemia; avoid in renal/hepatic failure; carry glucose for emergencies,Moderate
Appendicitis,Cefazolin IV (pre-operative),1–2 g IV 30–60 min before surgery,Surgical removal (appendectomy) is definitive treatment; antibiotics alone for selected uncomplicated cases; NPO pre-operatively,Severe
Cirrhosis,Spironolactone + Furosemide (Ascites),Spironolactone 100–400 mg + Furosemide 40–160 mg once daily (5:2 ratio maintained),Monitor electrolytes every 1–2 weeks; daily weight; restrict salt intake; aim for weight loss <0.5 kg/day; avoid NSAIDs and nephrotoxins,Severe
Common Cold,Loratadine,10 mg once daily,Non-drowsy antihistamine; safe in pregnancy class B; avoid if allergic to loratadine,Mild
Schizophrenia,Clozapine,12.5–450 mg/day in divided doses (treatment-resistant),"Mandatory weekly CBC (risk of agranulocytosis); registered clozapine monitoring programme; risk of seizures, myocarditis; titrate very slowly",Severe
